学生No,ソフトウェア工学,パターン認識,画像情報処理,電気電子回路,プログラミング言語論,機械学習論,ウェブインテリジェンス,マルチエージェントシステム,言語処理工学,音声情報処理,分散システム論,知識システム,知能ロボット制御論,メディアセンシング,所属分野
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,知能情報
2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
3,0,1,1,1,1,0,0,0,1,1,0,0,0,1,メディア情報
4,1,1,1,1,0,0,0,0,1,1,0,0,0,1,メディア情報
5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,メディア情報
6,0,1,1,0,0,0,0,0,1,1,0,0,0,1,メディア情報
7,1,1,1,1,0,0,0,0,1,1,0,0,0,1,メディア情報
9,0,1,1,1,0,0,0,0,1,0,0,0,0,0,メディア情報
10,1,1,1,1,0,1,0,0,0,1,0,0,0,1,メディア情報
11,0,1,1,1,0,1,0,0,1,1,0,0,0,0,メディア情報
14,1,1,1,0,0,1,0,0,1,0,0,0,0,0,メディア情報
15,1,1,1,0,0,1,0,0,1,0,0,0,0,0,メディア情報
16,1,1,1,0,0,1,0,0,1,1,1,0,0,1,メディア情報
17,1,1,1,0,1,0,1,1,0,0,0,0,0,0,知能情報
19,0,1,1,0,0,1,1,1,1,1,0,0,0,0,メディア情報
20,0,0,1,0,0,1,0,0,0,0,0,1,0,0,メディア情報
21,0,1,1,0,0,1,1,0,1,1,1,1,0,0,知能情報
22,1,1,1,1,0,0,0,0,1,1,0,0,0,0,メディア情報
23,1,1,1,1,1,0,0,0,1,1,0,0,0,1,メディア情報
24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,メディア情報
25,0,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
26,1,1,1,0,1,1,1,1,1,1,0,1,1,0,知能情報
27,0,1,0,0,0,1,1,1,0,0,0,0,0,0,知能情報
28,0,1,0,0,1,0,0,0,1,0,0,0,0,0,メディア情報
30,0,0,1,0,1,0,1,1,1,1,0,1,1,1,知能情報
31,0,0,1,0,0,1,0,1,1,0,0,0,0,0,知能情報
32,1,1,1,1,0,1,0,0,0,0,0,0,0,0,メディア情報
33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,ネットワーク
35,1,0,1,1,1,0,1,1,1,1,1,1,1,1,ネットワーク
39,0,0,1,1,0,1,0,0,1,1,0,0,0,0,メディア情報
44,0,1,1,0,1,1,0,0,1,0,0,0,0,0,メディア情報
46,1,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
47,0,1,1,0,0,1,1,1,0,0,0,0,0,0,知能情報
48,0,1,1,0,1,1,0,0,1,0,0,0,0,0,メディア情報
49,1,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
53,0,0,1,1,0,1,1,1,0,0,0,0,1,0,知能情報
54,0,1,1,0,0,1,0,0,1,1,0,0,0,0,メディア情報
55,1,1,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
56,1,1,1,0,0,1,1,1,0,0,0,0,0,0,知能情報
57,1,0,0,0,0,0,0,0,0,1,1,1,0,0,ネットワーク
58,0,1,1,1,0,1,0,0,1,1,0,0,0,1,メディア情報
59,1,1,1,1,0,0,0,0,0,0,0,0,0,0,メディア情報
62,0,1,1,0,1,1,1,0,0,0,0,0,0,0,知能情報
63,0,1,1,1,1,1,0,0,1,0,0,0,0,0,メディア情報
64,1,0,1,0,0,1,0,0,1,0,0,0,0,0,メディア情報
66,0,1,1,0,0,1,0,0,1,0,0,0,0,0,メディア情報
67,1,1,0,0,0,1,1,1,1,1,0,1,0,0,知能情報
69,1,1,1,0,1,1,1,1,1,0,0,0,0,0,知能情報
70,0,0,1,0,0,1,1,1,0,0,1,0,0,0,ネットワーク
71,1,1,1,1,1,1,1,1,0,1,1,0,1,0,知能情報
72,1,1,1,1,0,1,0,0,1,0,0,0,0,1,メディア情報
73,0,1,1,0,0,1,0,0,1,1,0,0,0,1,メディア情報
74,0,1,1,0,1,1,0,0,1,0,0,0,0,0,知能情報
75,0,1,1,0,1,1,0,0,1,0,0,0,0,0,メディア情報
76,1,0,1,1,0,1,0,0,1,0,0,0,0,0,メディア情報
77,0,0,1,0,0,1,1,1,0,0,0,0,0,0,知能情報
78,0,1,1,1,1,0,0,0,1,0,0,0,0,0,メディア情報
79,0,1,1,0,1,1,1,1,1,1,0,0,0,0,知能情報
80,1,1,1,0,1,1,1,1,1,1,0,1,1,1,知能情報
81,0,1,1,1,1,1,0,0,0,1,0,0,0,0,ネットワーク
82,1,1,1,1,0,1,0,0,1,1,0,0,0,1,メディア情報
83,1,1,1,1,0,0,0,0,1,1,0,0,0,1,メディア情報
84,1,1,1,1,1,1,0,0,0,0,1,1,0,0,ネットワーク
85,1,0,1,0,1,1,1,0,1,1,0,0,0,0,知能情報
86,0,0,1,0,1,1,0,0,1,0,0,0,0,0,メディア情報
